"203","236","2012-05-08","32.56094","35.66449","32.56151","35.66335","32.56158","35.66376","32.56065","35.66412","Good","sherd and lithic scatters in large quantities on polygon 236. Located on western slope below Tell Abu al-Hussayn. Some bronze age and later material potentially washed down with colluviation from above. Earlier material (potential wadi Rabah, chalcolithic material) also evident on terrace, potentially in situ. Certain areas appear to be well stratified, original surfaces. robbed tomb @ waypoint 3189. potential architectural feature at way point 3183.coordinates are associated with waypoints 3182 (nw corner), 3180 (ne corner), 1208 (sw corner), 3190 (se corner)possible architectural feature associated with waypoint 3192","2999 - No Threats Observed","101 - Tall/Tell","WGS 84","4007 - Illegal Excavation","Low","Unknown","9004 - Paleolithic, Unspecified9024 - Early Bronze, Unspecified9035 - Iron Age, Unspecified9046 - Roman, Unspecified9021 - Early Bronze II-III","High","Abu al-Hussayn","PH - Hitchings","2999 - No Threats Observed","1012 - Terrace","2046120462204712047220481204822049120492"
"204","","2012-05-08","32.55993","35.66961","","","","","","","Fair","","2304 - Looting/Theft","418 - Tomb, Rock-cut Shaft","WGS 84","4999 - No Legal Violations Observed","Zero","Unknown","","Zero","","EBB - Banning","2505 - Tourist/Visitor Activities","1005 - Hilltop",""
"205","","2012-05-08","32.55985","35.66936","","","","","","","Fair","","2304 - Looting/Theft","418 - Tomb, Rock-cut Shaft","WGS 84","4999 - No Legal Violations Observed","","Unknown","","","","EBB - Banning","2505 - Tourist/Visitor Activities","1005 - Hilltop",""
"206","200","2012-05-08","32.56161","35.66506","32.56173","35.66461","32.56194","35.66457","32.56139","35.66534","Good","Roman and more recent (Mamluk?) architectural features, many deep cisterns, some bedrock mortars. The top of the site has a lot of exposed bedrock. A partly collapsed Mamluk (?) building at the northeast corner of the site, with the two collapsed arches that once supported the roof clearly visible. The high densities of pottery are actually on the slopes around the highest part of the hill, since it is mostly cleared down to bedrock on the top.This site was reported by Nelson Glueck (1951: 185), who only appears to have visited the top of the hill, where he found mostly Roman and later pottery and only a small number of worn sherds that might be Iron Age or MB II. Early Bronze, Middle/Late Bronze, and Iron Age pottery is frequent on the slopes and terraces SW of the citadel (site element 203).","2999 - No Threats Observed","513 - Settlement, Fortified","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9020 - Early Bronze II9022 - Early Bronze III9027 - Middle Bronze, Unspecified9030 - Late Bronze, Unspecified9035 - Iron Age, Unspecified9046 - Roman, Unspecified9050 - Islamic, Umayyad9054 - Islamic, Mamluk9055 - Islamic, Unspecified9021 - Early Bronze II-III","High","Tell Abu al-Hussayn","BAL - Letham","2999 - No Threats Observed","1005 - Hilltop",""
"207","228","2012-05-9","32.56406","35.65833","32.56443","35.65975","32.56472","35.65949","32.56424","35.65835","Good","Low terrace (Polygon 228) above the abandoned well at the confluence of Wadi an-Nuhayr and Wadi ad-Darraba, with a concentration of lithics at its southern corner.Finds not very diagnostic, but some of the flakes/blades appear possibly Middle/Upper Palaeolithic, some maybe Epipalaeolithic, and some maybe Neolithic.","2109 - terracing","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9004 - Paleolithic, Unspecified9015 - Neolithic, Unspecified","Zero","an-Nuhayr","BAL - Letham","2103 - Fruit/Olive Grove","1012 - Terrace","207312073220742"
"209","224","2012-05-12","32.560314","35.65995","32.559585","35.659555","32.55896","35.65942","","","Good","Get coordinates from transect waypoints","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Zero","Unknown","","Medium","","","2999 - No Threats Observed","1005 - Hilltop","2101221022"
"210","","2012-05-14","32.55824","35.66433","32.55652","35.66604","32.55654","35.66407","32.55743","35.66619","Good","A rather large Early Bronze site, with fairly dense scatter of pottery, much lower density of lithics and ground stone. A stone stairway about 10 m west of two caves with bedrock mortars above them (waypoint 2262). Large cairns of stones scattered about the upper parts of the hill as well as the modern terrace walls probably derive from EB architecture that was once here, but stratified remains may still exist. The lowest parts of the scatter, in a vegetable field below and north of the olive grove (polygon xxx), may derive from the upper part of the site. Quite a few sickle elements. Pottery very similar to finds at Glueck’s Ras Abû Lôfah, and both Glueck and MEGA-Jordan appear to have located this site in the wrong place on maps. A local farmer confirmed that this is the correct Râs Abu Lôfeh","2107 - Plowing","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9019 - Early Bronze I9020 - Early Bronze II","Medium","Râs Abu Lôfeh","BAL - Letham","2107 - Plowing","1011 - Slope","2118121191"
"211","","2012-05-14","","","","","","","","","Fair","See Waypoint 1282Gray patch (ash) rich in potsherds relative to surroundings. rough diameter of the patch is 10 m. The pottery covering the surface is mainly Mamlouk.Possibly this is a sort of industrial site (pottery kiln or lime kiln?).","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Zero","Unknown","9054 - Islamic, Mamluk","Medium","Wa‘rat Bâyir","","2999 - No Threats Observed","",""
"304","300","2012-05-19","32.552695","35.702281","32.553678","35.70312","32.550856","35.704143","","","Poor","Known in Mega-Jordan as Mendeh Jamla (no. 3185), this is a dolmen field with at least 15 dolmens. Collected a small number of not-very-diagnostic lithics. The only sherds observed were Roman/Byzantine and not collected. The site is also larger than shown in Mega-Jordan, so we took new GPS coordinates.   According to a local informant, this site’s name is Kerem Dahleh.","2999 - No Threats Observed","410 - Dolmen","WGS 84","4999 - No Legal Violations Observed","Low","Private","9019 - Early Bronze I","Low","Kerem Dahleh","EBB - Banning","2103 - Fruit/Olive Grove","1005 - Hilltop","30850"
"","","2012-05-21","","","","","","","","","Good","","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","","Unknown","","","","","2999 - No Threats Observed","",""
"403","403","2013-08-18","35.621193","32.568715","35.621871","32.56742","35.618989","32.566907","35.618476","32.567267","Good","Large gently-sloping terrace with small amount of bulldozing and large numbers of basalt tool fragments. Most of the pottery looks Iron Age, but some hints of EB and maybe even earlier artifacts. Springs occur in the wadis to both northeast and southeast of the site.some walls that appear in edge of bulldozer cut may be Iron Age farmstead","2201 - Bulldozing","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9035 - Iron Age, Unspecified","Medium","Umm ad-Dabbar","","2999 - No Threats Observed","1012 - Terrace",""
"212","","2013-08-20","35.653383","32.558094","35.652513","32.58033","35.651979","32.557733","35.65298","32.557583","Good","Original record lost on iPad 1. Site appears to occupy the hilltop and extend down the slope and onto the saddle to the west, and there is some evidence of stone walls that could be architecture or just field walls/terraces.","2999 - No Threats Observed","901 - Sherd/Flint Surface Scatters","WGS 84","4999 - No Legal Violations Observed","Low","Unknown","9035 - Iron Age, Unspecified9005 - Epipalaeolithic","Low","","","2999 - No Threats Observed","1005 - Hilltop",""
"213","","2013-08-20","32.558192","35.654144","","","","","","","Good","Original record lost on iPad 1. Winepress and associated “cistern” badly eroded, located some 50 m east of site 212","2999 - No Threats Observed","206 - Press, Wine","WGS 84","4999 - No Legal Violations Observed","Zero","Unknown","","Zero","","EBB - Banning","2999 - No Threats Observed","1005 - Hilltop",""
"404","","2013-08-26","35.617372","32.566377","35.617404","32.565963","35.616854","32.565723","35.616964","32.566102","Good","robbed tombs east of Tell Muddawar","2999 - No Threats Observed","408 - Cemetery","WGS 84","4999 - No Legal Violations Observed","Zero","Unknown","9046 - Roman, Unspecified","Zero","","","2999 - No Threats Observed","1002 - Cliff",""
"405","","2013-08-26","35.62103","32.56679","35.62114","32.56638","35.62048","32.56633","35.62028","32.56667","Good","pottery scatter and several stone walls belowmodern pump house for hot springremains of old bedouin tent floorone large building appears to be 18 m N-S & 28 m E-W","2999 - No Threats Observed","514 - Settlement, No Fortifications (Village)","WGS 84","4999 - No Legal Violations Observed","","Unknown","9046 - Roman, Unspecified9049 - Byzantine, Unspecified9050 - Islamic, Umayyad","","","","2999 - No Threats Observed","1012 - Terrace",""
