"0","2013-08-29","","","Rubble with Sparse Vegetation","2","0","","257","","","0","","","","PH - Hitchings","","1","23682","end of 23681",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","2","0","","257","","","4","","","","PH - Hitchings","","1","23811","basaltx1",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","2","0","","257","","","0","","","","PH - Hitchings","","1","23812","end of 23811",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","3","0","","264","","","0","","","","BAL - Letham","RE - Elendari","2","23311","surveying with rash a today, doubling sweep width",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","3","0","","264","","","0","","","","BAL - Letham","RE - Elendari","2","23312","end wp for 23311",""
"0","2013-08-29","","","Dense Thorns","3","0","","263","","","0","","","","BAL - Letham","RE - Elendari","2","23391","",""
"0","2013-08-29","","","Dense Thorns","3","0","","263","","","0","","","","BAL - Letham","RE - Elendari","2","23392","end wp for 23391",""
"0","2013-08-29","","","Dense Thorns","3","0","","263","","","1","","","","BAL - Letham","RE - Elendari","2","23421","running new transect a somewhat perpendicular to the first round.",""
"0","2013-08-29","","","Dense Thorns","3","0","","263","","","0","","","","BAL - Letham","RE - Elendari","2","23422","end wp for 23521",""
"0","2013-08-29","","","Dense Thorns","3","0","","260","","","0","","","","BAL - Letham","RE - Elendari","1","23501","thorny as heck.found a tesserae",""
"0","2013-08-29","","","Dense Thorns","3","0","","260","","","0","","","","BAL - Letham","RE - Elendari","1","23502","end wp for 23501",""
"0","2013-08-29","","","Dense Thorns","3","4","","260","","","0","","","","BAL - Letham","RE - Elendari","1","23581","that was an exceptionally prickly transect",""
"0","2013-08-29","","","Dense Thorns","3","0","","260","","","0","","","","BAL - Letham","RE - Elendari","1","23582","end wp for 23581",""
"3","2013-08-29","","","Rubble","3","0","","261","","3","1","","","","BAL - Letham","RE - Elendari","1","23651","",""
"0","2013-08-29","","","Rubble","3","0","","261","","","0","","","","BAL - Letham","RE - Elendari","1","23652","end wp for 23652 n k",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","3","2","","257","","","18","","","","BAL - Letham","RE - Elendari","2","23691","pice of ground basalt bowl observed at start of transect.basalt x4some of the shreds are probable EB.",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","3","0","","257","","","0","","","","BAL - Letham","RE - Elendari","2","23692","end wp for 23691",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","3","0","","257","","","10","","","","BAL - Letham","RE - Elendari","2","23801","diagonal transect across polygon.",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","3","0","","257","","","0","","","","BAL - Letham","RE - Elendari","2","23802","end wp for 23801",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","1","","261","","","0","","","","RW - Weston","KAJ - Abu Jayyab","2","23341","",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","261","","","0","","","","RW - Weston","KAJ - Abu Jayyab","2","23342","end of transect 23341.",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","262","","","1","","","","KAJ - Abu Jayyab","","1","23361","",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","262","","","0","","","","KAJ - Abu Jayyab","","1","23362","end of transect 23361. 89 m length of transect.",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","260","","","0","","","","KAJ - Abu Jayyab","RW - Weston","1","23481","",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","260","","","0","","","","KAJ - Abu Jayyab","RW - Weston","1","23482","end of transect 23481. length 75 m.",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","260","","","0","","","","KAJ - Abu Jayyab","RW - Weston","1","23551","",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","260","","","0","","","","KAJ - Abu Jayyab","RW - Weston","1","23552","end of transect 23551. 82 m transect length.",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","261","","","1","","","","KAJ - Abu Jayyab","RW - Weston","3","23631","",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","261","","","0","","","","KAJ - Abu Jayyab","RW - Weston","1.5","23632","thorn field.",""
"0","2013-08-29","","","Rubble with Sparse Vegetation","4","0","","261","","","0","","","","KAJ - Abu Jayyab","RW - Weston","1.5","23633","end of segment 23632, length 122 m.",""
